2025-01-15 15:06:42.919944: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-01-15 15:06:42.936232: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1736950002.956966  175611 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1736950002.963099  175611 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-01-15 15:06:42.983228: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
W0000 00:00:1736950005.798626  175611 gpu_device.cc:2344] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
WARNING:2025-01-15 15:06:46,315:jax._src.xla_bridge:969: An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
Loaded trainable_model_2025_01_15_14_55_53.json
Epoch 335, Loss: 27.70282745361328, Correct predictions: 244, Correct predictions test: 14
Epoch 340, Loss: 26.446090698242188, Correct predictions: 207, Correct predictions test: 12
Epoch 345, Loss: 25.116085052490234, Correct predictions: 281, Correct predictions test: 11
Epoch 350, Loss: 24.53525161743164, Correct predictions: 247, Correct predictions test: 17
Epoch 355, Loss: 24.675859451293945, Correct predictions: 315, Correct predictions test: 16
Epoch 360, Loss: 23.362098693847656, Correct predictions: 234, Correct predictions test: 17
Epoch 365, Loss: 21.913450241088867, Correct predictions: 329, Correct predictions test: 16
Epoch 370, Loss: 21.209136962890625, Correct predictions: 305, Correct predictions test: 18
Epoch 375, Loss: 20.516775131225586, Correct predictions: 303, Correct predictions test: 15
Epoch 380, Loss: 19.894168853759766, Correct predictions: 331, Correct predictions test: 18
Epoch 385, Loss: 20.237041473388672, Correct predictions: 290, Correct predictions test: 16
Epoch 390, Loss: 18.550609588623047, Correct predictions: 353, Correct predictions test: 16
Epoch 395, Loss: 17.945236206054688, Correct predictions: 371, Correct predictions test: 16
Epoch 400, Loss: 17.43755340576172, Correct predictions: 391, Correct predictions test: 22
Epoch 405, Loss: 16.805906295776367, Correct predictions: 404, Correct predictions test: 20
Epoch 410, Loss: 16.419994354248047, Correct predictions: 382, Correct predictions test: 20
Epoch 415, Loss: 15.723745346069336, Correct predictions: 427, Correct predictions test: 22
Epoch 420, Loss: 15.32632827758789, Correct predictions: 425, Correct predictions test: 21
Epoch 425, Loss: 14.69842529296875, Correct predictions: 452, Correct predictions test: 24
Epoch 430, Loss: 14.383702278137207, Correct predictions: 461, Correct predictions test: 23
Epoch 435, Loss: 14.253175735473633, Correct predictions: 490, Correct predictions test: 31
Epoch 440, Loss: 14.179216384887695, Correct predictions: 419, Correct predictions test: 27
Epoch 445, Loss: 13.677682876586914, Correct predictions: 512, Correct predictions test: 32
Epoch 450, Loss: 13.94685173034668, Correct predictions: 386, Correct predictions test: 24
Epoch 455, Loss: 14.099214553833008, Correct predictions: 539, Correct predictions test: 27
Epoch 460, Loss: 13.593751907348633, Correct predictions: 373, Correct predictions test: 23
Epoch 465, Loss: 11.381484031677246, Correct predictions: 616, Correct predictions test: 29
Epoch 470, Loss: 11.06090259552002, Correct predictions: 556, Correct predictions test: 30
Epoch 475, Loss: 10.81685733795166, Correct predictions: 584, Correct predictions test: 36
Epoch 480, Loss: 10.263972282409668, Correct predictions: 611, Correct predictions test: 31
Epoch 485, Loss: 10.2062349319458, Correct predictions: 721, Correct predictions test: 34
Epoch 490, Loss: 9.627161979675293, Correct predictions: 719, Correct predictions test: 34
Epoch 495, Loss: 9.324661254882812, Correct predictions: 721, Correct predictions test: 34
Saved super_trained_model_2025_01_15_14_55_53.json
Loaded trainable_model_2025_01_15_14_55_55.json
Epoch 0, Loss: 308044.4375, Correct predictions: 1, Correct predictions test: 0
Epoch 5, Loss: 123962.3515625, Correct predictions: 1, Correct predictions test: 0
Epoch 10, Loss: 79038.3125, Correct predictions: 1, Correct predictions test: 0
Epoch 15, Loss: 51536.4609375, Correct predictions: 1, Correct predictions test: 0
Epoch 20, Loss: 23760.6484375, Correct predictions: 1, Correct predictions test: 0
Epoch 25, Loss: 13137.767578125, Correct predictions: 1, Correct predictions test: 0
Epoch 30, Loss: 6659.53466796875, Correct predictions: 1, Correct predictions test: 0
Epoch 35, Loss: 4511.1884765625, Correct predictions: 1, Correct predictions test: 0
Epoch 40, Loss: 2202.012939453125, Correct predictions: 1, Correct predictions test: 0
Epoch 45, Loss: 1305.97802734375, Correct predictions: 1, Correct predictions test: 0
Epoch 50, Loss: 968.6982421875, Correct predictions: 1, Correct predictions test: 0
Epoch 55, Loss: 778.9961547851562, Correct predictions: 1, Correct predictions test: 0
Epoch 60, Loss: 703.3856201171875, Correct predictions: 8, Correct predictions test: 0
Epoch 65, Loss: 705.7571411132812, Correct predictions: 3, Correct predictions test: 0
Epoch 70, Loss: 621.6768798828125, Correct predictions: 4, Correct predictions test: 0
Epoch 75, Loss: 603.7454833984375, Correct predictions: 2, Correct predictions test: 0
Epoch 80, Loss: 534.8995971679688, Correct predictions: 7, Correct predictions test: 0
Epoch 85, Loss: 485.36322021484375, Correct predictions: 10, Correct predictions test: 2
Epoch 90, Loss: 467.119384765625, Correct predictions: 3, Correct predictions test: 1
Epoch 95, Loss: 445.81658935546875, Correct predictions: 9, Correct predictions test: 2
Saved trained_model_2025_01_15_14_55_55.json
Epoch 0, Loss: 431.28643798828125, Correct predictions: 20, Correct predictions test: 0
Epoch 5, Loss: 385.843017578125, Correct predictions: 7, Correct predictions test: 3
Epoch 10, Loss: 358.997802734375, Correct predictions: 6, Correct predictions test: 1
Epoch 15, Loss: 338.1607666015625, Correct predictions: 12, Correct predictions test: 2
Epoch 20, Loss: 316.4565124511719, Correct predictions: 8, Correct predictions test: 0
Epoch 25, Loss: 303.5418395996094, Correct predictions: 5, Correct predictions test: 3
Epoch 30, Loss: 282.53643798828125, Correct predictions: 17, Correct predictions test: 4
Epoch 35, Loss: 278.40570068359375, Correct predictions: 27, Correct predictions test: 0
Epoch 40, Loss: 252.1504364013672, Correct predictions: 19, Correct predictions test: 1
Epoch 45, Loss: 235.33819580078125, Correct predictions: 21, Correct predictions test: 2
