checkpoint_name,training_step,population,measure,pearson_r,pearson_p
trained_model_checkpoint_450.pkl,450,Adults,RT,0.714322543008159,3.052149222718202e-16
trained_model_checkpoint_460.pkl,460,Adults,RT,0.727942533663204,4.376478170158661e-17
trained_model_checkpoint_470.pkl,470,Adults,RT,0.7126948363819108,3.8206627819266114e-16
trained_model_checkpoint_480.pkl,480,Adults,RT,0.7096557903019938,5.7869259712777e-16
trained_model_checkpoint_490.pkl,490,Adults,RT,0.7113304994138167,4.606517544599866e-16
trained_model_checkpoint_500.pkl,500,Adults,RT,0.7065401006549461,8.808937591001131e-16
trained_model_checkpoint_510.pkl,510,Adults,RT,0.7090126400385366,6.314092324409988e-16
trained_model_checkpoint_520.pkl,520,Adults,RT,0.7167871034734206,2.1658740179019021e-16
trained_model_checkpoint_530.pkl,530,Adults,RT,0.7188974959405273,1.60994597706478e-16
trained_model_checkpoint_540.pkl,540,Adults,RT,0.7127178928640052,3.808569272727942e-16
trained_model_checkpoint_550.pkl,550,Adults,RT,0.7058314298133912,9.68493323098631e-16
trained_model_checkpoint_560.pkl,560,Adults,RT,0.7206114405205848,1.262767073318185e-16
trained_model_checkpoint_570.pkl,570,Adults,RT,0.7130963260648421,3.61529666562778e-16
trained_model_checkpoint_580.pkl,580,Adults,RT,0.7274506029987907,4.7040342560665606e-17
trained_model_checkpoint_590.pkl,590,Adults,RT,0.7221026196220899,1.02071960896095e-16
trained_model_checkpoint_600.pkl,600,Adults,RT,0.7273423822384818,4.779221374950792e-17
trained_model_checkpoint_610.pkl,610,Adults,RT,0.7225717743911098,9.543467892323967e-17
trained_model_checkpoint_620.pkl,620,Adults,RT,0.7043313886371183,1.1826253706637001e-15
trained_model_checkpoint_630.pkl,630,Adults,RT,0.7161380514793612,2.3714731216604797e-16
trained_model_checkpoint_640.pkl,640,Adults,RT,0.7060558868830706,9.398727853070836e-16
trained_model_checkpoint_650.pkl,650,Adults,RT,0.6932065049033563,5.008772382407271e-15
trained_model_checkpoint_660.pkl,660,Adults,RT,0.6989120869549987,2.408795464199795e-15
trained_model_checkpoint_670.pkl,670,Adults,RT,0.6940535404955941,4.497774822474589e-15
trained_model_checkpoint_680.pkl,680,Adults,RT,0.6864237342970781,1.1701825800662324e-14
