checkpoint_name,training_step,population,measure,epsilon,pearson_r,pearson_p
trained_model_checkpoint_540.pkl,540,Adults,RT,4.0,0.6815906419428681,2.11258929930032e-14
trained_model_checkpoint_550.pkl,550,Adults,RT,4.0,0.6815906419428681,2.11258929930032e-14
trained_model_checkpoint_560.pkl,560,Adults,RT,8.5,0.6865016559092014,1.158981947035435e-14
trained_model_checkpoint_570.pkl,570,Adults,RT,8.5,0.6865016559092014,1.158981947035435e-14
trained_model_checkpoint_580.pkl,580,Adults,RT,8.5,0.7111177564021844,4.742391722694776e-16
trained_model_checkpoint_590.pkl,590,Adults,RT,4.0,0.6999676296906775,2.0997340967062288e-15
trained_model_checkpoint_600.pkl,600,Adults,RT,4.0,0.6999676296906775,2.0997340967062288e-15
trained_model_checkpoint_610.pkl,610,Adults,RT,4.0,0.7061758453727474,9.249146094153523e-16
trained_model_checkpoint_620.pkl,620,Adults,RT,4.0,0.7061758453727474,9.249146094153523e-16
trained_model_checkpoint_630.pkl,630,Adults,RT,9.0,0.7203107400633495,1.3179139302324835e-16
trained_model_checkpoint_640.pkl,640,Adults,RT,9.0,0.7209872699939819,1.1969811582619032e-16
trained_model_checkpoint_650.pkl,650,Adults,RT,9.0,0.6991378780680519,2.3391873723128906e-15
trained_model_checkpoint_660.pkl,660,Adults,RT,9.0,0.6991378780680519,2.3391873723128906e-15
trained_model_checkpoint_670.pkl,670,Adults,RT,9.0,0.6991378780680519,2.3391873723128906e-15
trained_model_checkpoint_680.pkl,680,Adults,RT,9.0,0.6991378780680519,2.3391873723128906e-15
trained_model_checkpoint_690.pkl,690,Adults,RT,9.0,0.6991378780680519,2.3391873723128906e-15
trained_model_checkpoint_700.pkl,700,Adults,RT,9.0,0.6999676296906775,2.0997340967062288e-15
trained_model_checkpoint_710.pkl,710,Adults,RT,9.0,0.6999676296906775,2.0997340967062288e-15
trained_model_checkpoint_720.pkl,720,Adults,RT,10.0,0.6952729028582646,3.849805473655024e-15
trained_model_checkpoint_730.pkl,730,Adults,RT,10.0,0.6952729028582646,3.849805473655024e-15
trained_model_checkpoint_740.pkl,740,Adults,RT,10.0,0.7047981781278531,1.1115009310240736e-15
trained_model_checkpoint_750.pkl,750,Adults,RT,10.0,0.7047981781278531,1.1115009310240736e-15
trained_model_checkpoint_760.pkl,760,Adults,RT,10.0,0.7013244969697152,1.758421271504729e-15
trained_model_checkpoint_770.pkl,770,Adults,RT,5.0,0.6989185977283154,2.406760492812593e-15
trained_model_checkpoint_780.pkl,780,Adults,RT,5.0,0.6991378780680519,2.3391873723128906e-15
trained_model_checkpoint_790.pkl,790,Adults,RT,5.0,0.6991378780680519,2.3391873723128906e-15
trained_model_checkpoint_800.pkl,800,Adults,RT,10.0,0.7017318925248353,1.6668908579593797e-15
trained_model_checkpoint_400.pkl,400,Kids_II,RT,3.5,0.7945342491513745,4.425784996260944e-22
trained_model_checkpoint_410.pkl,410,Kids_II,RT,3.5,0.7945342491513745,4.425784996260944e-22
trained_model_checkpoint_420.pkl,420,Kids_II,RT,3.5,0.7844352761019779,3.2776965362554175e-21
