checkpoint_name,n_total_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_90.pkl,21,Adults,RT,0.6439020122384481,1.4762659784270396e-12,0.6697880371053577,8.535567622706047e-14
trained_model_checkpoint_90.pkl,21,Adults,zRT,0.650118602413662,7.633834939068043e-13,0.6693985181832248,8.92843903494787e-14
trained_model_checkpoint_90.pkl,21,Adults,ER,0.1712284231747451,0.0953046904727755,0.180507391626145,0.0784208129368537
trained_model_checkpoint_100.pkl,21,Kids_II,RT,0.7194820376450886,1.4822529165977868e-16,0.7458435470269809,2.8316466620556122e-18
trained_model_checkpoint_100.pkl,21,Kids_II,zRT,0.7259493628541828,5.857467877992364e-17,0.7419185225388536,5.261669357029165e-18
trained_model_checkpoint_100.pkl,21,Kids_II,ER,0.157344889567227,0.1257650916888097,0.094112539763309,0.3617381525370591
trained_model_checkpoint_100.pkl,21,Adults,RT,0.6365230402593176,3.167744942077519e-12,0.6646146865836675,1.5431967900694453e-13
trained_model_checkpoint_100.pkl,21,Adults,zRT,0.646715369075333,1.0973827768519228e-12,0.6685260350282819,9.872880950363033e-14
trained_model_checkpoint_100.pkl,21,Adults,ER,0.1528917525325082,0.1369719798909632,0.1680566914482262,0.101691932881311
trained_model_checkpoint_110.pkl,21,Kids_II,RT,0.7272795722558731,4.823392220544176e-17,0.7627144958353954,1.7256927869114426e-19
trained_model_checkpoint_110.pkl,21,Kids_II,zRT,0.7334537883816352,1.9285415751563362e-17,0.7625779676879264,1.7668456084542717e-19
trained_model_checkpoint_110.pkl,21,Kids_II,ER,0.136654788127379,0.1842983006009226,0.0660331129461902,0.5226845780719701
trained_model_checkpoint_110.pkl,21,Adults,RT,0.6417888705260664,1.8409370276807558e-12,0.6781967461447301,3.177379211780194e-14
trained_model_checkpoint_110.pkl,21,Adults,zRT,0.6487836326316554,8.806575000042902e-13,0.6823130697909194,1.9354297760690522e-14
trained_model_checkpoint_110.pkl,21,Adults,ER,0.1693091223938659,0.0991308497806639,0.1745403471587637,0.0889769564228031
trained_model_checkpoint_120.pkl,21,Kids_II,RT,0.7230160981821099,8.953573335827114e-17,0.7504592790774041,1.3466149794505428e-18
trained_model_checkpoint_120.pkl,21,Kids_II,zRT,0.7294982731097408,3.479711751223544e-17,0.751612918144907,1.1154864312910976e-18
trained_model_checkpoint_120.pkl,21,Kids_II,ER,0.135136567358439,0.1892676477442802,0.0624262456294772,0.5456925651745177
trained_model_checkpoint_120.pkl,21,Adults,RT,0.6368938170194518,3.050008693478006e-12,0.664953462748747,1.4850288836427525e-13
trained_model_checkpoint_120.pkl,21,Adults,zRT,0.6452995241061276,1.2745243421301168e-12,0.6723463095541067,6.340802072985356e-14
trained_model_checkpoint_120.pkl,21,Adults,ER,0.1770009012164074,0.0844951482874661,0.187310248318784,0.0676355441002107
trained_model_checkpoint_130.pkl,21,Kids_II,RT,0.7235684933854171,8.269359146729907e-17,0.7677463545176229,7.159508802018899e-20
trained_model_checkpoint_130.pkl,21,Kids_II,zRT,0.7298139517703773,3.32087867523545e-17,0.7722507467374199,3.196038753792703e-20
trained_model_checkpoint_130.pkl,21,Kids_II,ER,0.120335023460397,0.2428704490213099,0.0666733287683366,0.5186525399691211
trained_model_checkpoint_130.pkl,21,Adults,RT,0.635321898133321,3.580021915310402e-12,0.6797605598242537,2.634446858255401e-14
trained_model_checkpoint_130.pkl,21,Adults,zRT,0.6435398510390026,1.533377058013059e-12,0.6908372697829362,6.754632378109527e-15
trained_model_checkpoint_130.pkl,21,Adults,ER,0.1796381086618209,0.0798930625808746,0.185925908700554,0.069727010768102
trained_model_checkpoint_140.pkl,21,Kids_II,RT,0.7527987916549599,9.18190619649246e-19,0.7763228663517522,1.5170118590798667e-20
trained_model_checkpoint_140.pkl,21,Kids_II,zRT,0.7575702146032073,4.14894603276948e-19,0.7801395492798504,7.437729778587749e-21
trained_model_checkpoint_140.pkl,21,Kids_II,ER,0.1384882910078133,0.1784245232927627,0.0748317587278656,0.4686908149216051
trained_model_checkpoint_140.pkl,21,Adults,RT,0.6638126790099468,1.689811490672041e-13,0.6911951333508054,6.457507151980451e-15
trained_model_checkpoint_140.pkl,21,Adults,zRT,0.6729742790329547,5.89198278875608e-14,0.7009382577486519,1.849681913538783e-15
