checkpoint_name,epsilon,n_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_10.pkl,3.0,1,Adults,zRT,0.0736611910622798,0.475694275407469,0.0758988178489974,0.4623558815524324
trained_model_checkpoint_10.pkl,3.0,1,Adults,ER,0.0717495712402316,0.4872517899894939,0.0849933953692785,0.4103122272033954
trained_model_checkpoint_10.pkl,3.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,3.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,3.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,3.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,3.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,3.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,4.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,4.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,4.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,4.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,4.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,4.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,4.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,4.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,4.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,4.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,4.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,4.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,5.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,5.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,5.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,5.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,5.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,5.0,1,Adults,ER,,,,
